
step 0: train loss 4.2874, val loss 4.2823
[2023-10-18 12:45:36,879] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:37,358] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:38,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:38,751] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,204] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,937] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,232] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,681] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,980] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:41,442] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:41,935] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 1800: loss 1.1752, time 117.22ms, mfu 3.05%
iter 1810: loss 1.1647, time 112.99ms, mfu 3.07%
iter 1820: loss 1.1709, time 114.07ms, mfu 3.09%
iter 1830: loss 1.1703, time 113.81ms, mfu 3.11%
iter 1840: loss 1.1592, time 115.21ms, mfu 3.12%
iter 1850: loss 1.1671, time 111.44ms, mfu 3.14%
iter 1860: loss 1.1751, time 114.83ms, mfu 3.15%
iter 1870: loss 1.1444, time 115.94ms, mfu 3.16%
iter 1880: loss 1.1820, time 112.53ms, mfu 3.18%
iter 1890: loss 1.1850, time 117.79ms, mfu 3.17%
iter 1900: loss 1.1317, time 113.11ms, mfu 3.19%
iter 1910: loss 1.1653, time 117.09ms, mfu 3.19%
iter 1920: loss 1.1680, time 114.99ms, mfu 3.19%
iter 1930: loss 1.1419, time 115.76ms, mfu 3.19%
iter 1940: loss 1.1259, time 112.00ms, mfu 3.21%
iter 1950: loss 1.1378, time 115.72ms, mfu 3.21%
iter 1960: loss 1.1573, time 113.68ms, mfu 3.22%
iter 1970: loss 1.1574, time 112.67ms, mfu 3.22%
iter 1980: loss 1.1518, time 112.98ms, mfu 3.23%
iter 1990: loss 1.1529, time 117.91ms, mfu 3.22%
step 2000: train loss 1.0560, val loss 1.4723
iter 2000: loss 1.1313, time 11791.56ms, mfu 2.91%
iter 2010: loss 1.1371, time 113.73ms, mfu 2.94%
iter 2020: loss 1.1267, time 114.67ms, mfu 2.97%
iter 2030: loss 1.1575, time 111.79ms, mfu 3.01%
iter 2040: loss 1.1369, time 112.79ms, mfu 3.04%
iter 2050: loss 1.1200, time 114.25ms, mfu 3.06%
iter 2060: loss 1.1054, time 116.94ms, mfu 3.07%
iter 2070: loss 1.1241, time 114.07ms, mfu 3.09%
iter 2080: loss 1.1240, time 113.13ms, mfu 3.11%
iter 2090: loss 1.1352, time 114.44ms, mfu 3.13%
iter 2100: loss 1.1349, time 115.11ms, mfu 3.14%
iter 2110: loss 1.1359, time 115.09ms, mfu 3.15%
iter 2120: loss 1.1305, time 113.84ms, mfu 3.16%
iter 2130: loss 1.1397, time 112.49ms, mfu 3.18%
iter 2140: loss 1.1365, time 112.85ms, mfu 3.19%
iter 2150: loss 1.1284, time 116.46ms, mfu 3.19%
iter 2160: loss 1.1414, time 115.98ms, mfu 3.19%
iter 2170: loss 1.1367, time 117.44ms, mfu 3.19%
iter 2180: loss 1.1187, time 115.84ms, mfu 3.19%
iter 2190: loss 1.1095, time 114.45ms, mfu 3.20%
iter 2200: loss 1.1194, time 116.54ms, mfu 3.20%
iter 2210: loss 1.1110, time 114.72ms, mfu 3.20%
iter 2220: loss 1.1232, time 113.07ms, mfu 3.21%
iter 2230: loss 1.1231, time 116.01ms, mfu 3.21%
iter 2240: loss 1.1356, time 113.95ms, mfu 3.22%
step 2250: train loss 1.0100, val loss 1.4719
iter 2250: loss 1.1040, time 11819.17ms, mfu 2.90%
iter 2260: loss 1.1040, time 111.72ms, mfu 2.94%
iter 2270: loss 1.1425, time 115.59ms, mfu 2.97%
iter 2280: loss 1.0969, time 114.40ms, mfu 3.00%
iter 2290: loss 1.1535, time 114.52ms, mfu 3.03%
iter 2300: loss 1.1172, time 114.28ms, mfu 3.05%
iter 2310: loss 1.0925, time 116.77ms, mfu 3.06%
iter 2320: loss 1.0992, time 111.66ms, mfu 3.09%
iter 2330: loss 1.1028, time 111.86ms, mfu 3.11%
iter 2340: loss 1.1236, time 115.70ms, mfu 3.13%
iter 2350: loss 1.1000, time 112.00ms, mfu 3.15%
iter 2360: loss 1.1014, time 117.89ms, mfu 3.15%
iter 2370: loss 1.0974, time 115.21ms, mfu 3.16%
iter 2380: loss 1.0846, time 116.34ms, mfu 3.16%
iter 2390: loss 1.0864, time 114.30ms, mfu 3.17%
iter 2400: loss 1.0765, time 112.66ms, mfu 3.18%
iter 2410: loss 1.0720, time 113.93ms, mfu 3.19%
iter 2420: loss 1.0792, time 117.24ms, mfu 3.19%
iter 2430: loss 1.0588, time 111.31ms, mfu 3.21%
iter 2440: loss 1.0537, time 113.81ms, mfu 3.21%
iter 2450: loss 1.0758, time 115.92ms, mfu 3.21%
iter 2460: loss 1.0872, time 112.52ms, mfu 3.22%
iter 2470: loss 1.0853, time 115.07ms, mfu 3.22%
iter 2480: loss 1.0859, time 114.45ms, mfu 3.23%
iter 2490: loss 1.0610, time 114.71ms, mfu 3.23%
step 2500: train loss 0.9590, val loss 1.4886
iter 2500: loss 1.0800, time 11751.33ms, mfu 2.91%
iter 2510: loss 1.0775, time 113.32ms, mfu 2.95%
iter 2520: loss 1.0480, time 112.91ms, mfu 2.98%
iter 2530: loss 1.0608, time 113.65ms, mfu 3.01%
iter 2540: loss 1.0559, time 114.22ms, mfu 3.04%
iter 2550: loss 1.0655, time 113.71ms, mfu 3.06%
iter 2560: loss 1.0615, time 114.50ms, mfu 3.08%
iter 2570: loss 1.0752, time 112.75ms, mfu 3.10%
iter 2580: loss 1.0818, time 112.31ms, mfu 3.12%
iter 2590: loss 1.0710, time 110.96ms, mfu 3.15%
iter 2600: loss 1.0741, time 119.10ms, mfu 3.15%
iter 2610: loss 1.0476, time 116.58ms, mfu 3.15%
iter 2620: loss 1.0413, time 113.87ms, mfu 3.16%
iter 2630: loss 1.0266, time 115.56ms, mfu 3.17%
iter 2640: loss 1.0461, time 116.29ms, mfu 3.17%
iter 2650: loss 1.0662, time 117.11ms, mfu 3.17%
iter 2660: loss 1.0466, time 114.18ms, mfu 3.18%
iter 2670: loss 1.0205, time 115.00ms, mfu 3.19%
iter 2680: loss 1.0463, time 113.44ms, mfu 3.20%
iter 2690: loss 1.0574, time 114.96ms, mfu 3.20%
iter 2700: loss 1.0213, time 114.87ms, mfu 3.21%
iter 2710: loss 1.0412, time 113.56ms, mfu 3.21%
iter 2720: loss 1.0447, time 115.50ms, mfu 3.22%
iter 2730: loss 1.0544, time 114.94ms, mfu 3.22%
iter 2740: loss 1.0265, time 112.99ms, mfu 3.23%
step 2750: train loss 0.9135, val loss 1.5104
iter 2750: loss 1.0351, time 11887.08ms, mfu 2.91%
iter 2760: loss 1.0271, time 113.02ms, mfu 2.95%
iter 2770: loss 1.0300, time 116.27ms, mfu 2.97%
iter 2780: loss 1.0212, time 115.62ms, mfu 3.00%
iter 2790: loss 1.0406, time 115.05ms, mfu 3.02%
iter 2800: loss 1.0119, time 113.03ms, mfu 3.05%
iter 2810: loss 1.0451, time 113.87ms, mfu 3.07%
iter 2820: loss 1.0255, time 118.56ms, mfu 3.08%
iter 2830: loss 1.0377, time 115.80ms, mfu 3.09%
iter 2840: loss 1.0019, time 114.04ms, mfu 3.11%
iter 2850: loss 1.0306, time 115.59ms, mfu 3.12%
iter 2860: loss 1.0237, time 112.61ms, mfu 3.14%
iter 2870: loss 1.0016, time 115.81ms, mfu 3.15%
iter 2880: loss 1.0270, time 113.44ms, mfu 3.16%
iter 2890: loss 1.0150, time 114.50ms, mfu 3.17%
iter 2900: loss 0.9963, time 113.13ms, mfu 3.18%
iter 2910: loss 1.0427, time 114.65ms, mfu 3.19%
iter 2920: loss 1.0190, time 114.88ms, mfu 3.19%
iter 2930: loss 0.9971, time 114.39ms, mfu 3.20%
iter 2940: loss 0.9860, time 116.84ms, mfu 3.20%
iter 2950: loss 1.0231, time 113.16ms, mfu 3.21%
iter 2960: loss 1.0000, time 114.82ms, mfu 3.21%
iter 2970: loss 0.9940, time 115.95ms, mfu 3.21%
iter 2980: loss 1.0014, time 113.93ms, mfu 3.22%
iter 2990: loss 0.9899, time 115.72ms, mfu 3.22%
step 3000: train loss 0.8673, val loss 1.5194
iter 3000: loss 0.9866, time 11920.30ms, mfu 2.90%
iter 3010: loss 0.9940, time 112.74ms, mfu 2.94%
iter 3020: loss 0.9946, time 116.93ms, mfu 2.97%
iter 3030: loss 1.0067, time 113.23ms, mfu 3.00%
iter 3040: loss 1.0279, time 112.50ms, mfu 3.03%
iter 3050: loss 0.9855, time 115.72ms, mfu 3.05%
iter 3060: loss 0.9980, time 113.86ms, mfu 3.07%
iter 3070: loss 1.0166, time 116.91ms, mfu 3.08%
iter 3080: loss 1.0064, time 115.79ms, mfu 3.10%
iter 3090: loss 0.9795, time 113.84ms, mfu 3.11%
iter 3100: loss 0.9986, time 113.91ms, mfu 3.13%
iter 3110: loss 0.9806, time 114.06ms, mfu 3.14%
iter 3120: loss 0.9921, time 116.17ms, mfu 3.15%
iter 3130: loss 0.9779, time 114.56ms, mfu 3.16%
iter 3140: loss 0.9753, time 117.16ms, mfu 3.16%
iter 3150: loss 0.9882, time 113.96ms, mfu 3.17%
iter 3160: loss 1.0155, time 116.93ms, mfu 3.17%
iter 3170: loss 0.9620, time 117.52ms, mfu 3.17%
iter 3180: loss 0.9784, time 114.92ms, mfu 3.18%
iter 3190: loss 0.9972, time 115.16ms, mfu 3.19%
iter 3200: loss 0.9690, time 114.76ms, mfu 3.19%
iter 3210: loss 0.9701, time 115.22ms, mfu 3.20%
iter 3220: loss 0.9613, time 114.78ms, mfu 3.20%
iter 3230: loss 0.9596, time 115.52ms, mfu 3.20%
iter 3240: loss 0.9608, time 113.88ms, mfu 3.21%
step 3250: train loss 0.8239, val loss 1.5611
iter 3250: loss 0.9846, time 11824.41ms, mfu 2.89%
iter 3260: loss 0.9668, time 115.10ms, mfu 2.93%
iter 3270: loss 0.9772, time 114.33ms, mfu 2.96%
iter 3280: loss 0.9445, time 116.03ms, mfu 2.99%
iter 3290: loss 0.9432, time 112.12ms, mfu 3.02%
iter 3300: loss 0.9451, time 111.84ms, mfu 3.05%
iter 3310: loss 0.9571, time 117.31ms, mfu 3.06%
iter 3320: loss 0.9727, time 112.62ms, mfu 3.09%
iter 3330: loss 0.9581, time 115.39ms, mfu 3.10%
iter 3340: loss 0.9502, time 116.11ms, mfu 3.11%
iter 3350: loss 0.9538, time 114.06ms, mfu 3.13%
iter 3360: loss 0.9362, time 115.13ms, mfu 3.14%
iter 3370: loss 0.9606, time 115.43ms, mfu 3.15%
iter 3380: loss 0.9514, time 118.51ms, mfu 3.15%
iter 3390: loss 0.9561, time 122.36ms, mfu 3.14%
iter 3400: loss 0.9596, time 114.81ms, mfu 3.15%
iter 3410: loss 0.9444, time 119.64ms, mfu 3.14%
iter 3420: loss 0.9479, time 118.20ms, mfu 3.15%
iter 3430: loss 0.9430, time 113.64ms, mfu 3.16%
iter 3440: loss 0.9693, time 115.83ms, mfu 3.16%
iter 3450: loss 0.9509, time 116.15ms, mfu 3.17%
iter 3460: loss 0.9453, time 114.70ms, mfu 3.18%
iter 3470: loss 0.9385, time 112.55ms, mfu 3.19%
iter 3480: loss 0.9504, time 112.57ms, mfu 3.20%
iter 3490: loss 0.9106, time 115.00ms, mfu 3.21%
step 3500: train loss 0.7790, val loss 1.5720
iter 3500: loss 0.9011, time 11945.51ms, mfu 2.89%
iter 3510: loss 0.9180, time 114.16ms, mfu 2.93%
iter 3520: loss 0.9251, time 114.88ms, mfu 2.96%
iter 3530: loss 0.9584, time 113.54ms, mfu 2.99%
iter 3540: loss 0.9311, time 112.99ms, mfu 3.02%
iter 3550: loss 0.9215, time 113.74ms, mfu 3.05%
iter 3560: loss 0.9519, time 116.32ms, mfu 3.06%
iter 3570: loss 0.9363, time 115.63ms, mfu 3.08%
iter 3580: loss 0.9419, time 113.72ms, mfu 3.10%
iter 3590: loss 0.9228, time 112.84ms, mfu 3.12%
iter 3600: loss 0.9237, time 110.99ms, mfu 3.14%
iter 3610: loss 0.9118, time 115.21ms, mfu 3.15%
iter 3620: loss 0.9171, time 114.88ms, mfu 3.16%
iter 3630: loss 0.9199, time 116.27ms, mfu 3.17%
iter 3640: loss 0.9228, time 113.82ms, mfu 3.18%
iter 3650: loss 0.9075, time 115.62ms, mfu 3.18%
iter 3660: loss 0.9391, time 116.12ms, mfu 3.18%
iter 3670: loss 0.9375, time 116.15ms, mfu 3.19%
iter 3680: loss 0.9084, time 115.88ms, mfu 3.19%
iter 3690: loss 0.9350, time 114.65ms, mfu 3.20%
iter 3700: loss 0.8690, time 119.41ms, mfu 3.19%
iter 3710: loss 0.8807, time 113.39ms, mfu 3.20%
iter 3720: loss 0.9150, time 113.17ms, mfu 3.21%
iter 3730: loss 0.9002, time 113.01ms, mfu 3.22%
iter 3740: loss 0.9056, time 112.41ms, mfu 3.23%
step 3750: train loss 0.7414, val loss 1.6029
iter 3750: loss 0.9066, time 11846.58ms, mfu 2.91%
iter 3760: loss 0.9350, time 115.21ms, mfu 2.94%
iter 3770: loss 0.9320, time 113.57ms, mfu 2.97%
iter 3780: loss 0.9233, time 113.79ms, mfu 3.00%
iter 3790: loss 0.9007, time 112.07ms, mfu 3.04%
iter 3800: loss 0.9027, time 111.96ms, mfu 3.06%
iter 3810: loss 0.9152, time 115.77ms, mfu 3.08%
iter 3820: loss 0.8884, time 116.31ms, mfu 3.09%
iter 3830: loss 0.9023, time 112.55ms, mfu 3.11%
